episode,step,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,ft_force_x,ft_force_y,ft_force_z,peg_pos_x,peg_pos_y,peg_pos_z,hole_pos_x,hole_pos_y,hole_pos_z,processed_action_0,processed_action_1,processed_action_2,processed_action_3,processed_action_4,processed_action_5,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23
2,0,1.0,0.6611417531967163,1.0,-1.0,1.0,-0.1648188829421997,-1.0,-0.28776633739471436,0.5265796184539795,0.34377163648605347,-2.040536880493164,-0.29417240619659424,2.521876573562622,1.321135401725769,-0.05659311264753342,-0.08160284161567688,-0.026198670268058777,0.5965810418128967,0.03358021751046181,0.050867024809122086,0.6124395728111267,0.0419236496090889,0.0016423389315605164,0.5998504757881165,0.03639914095401764,0.08108632266521454,-3.1264405250549316,0.30818068981170654,1.1733609639463793e-08,-0.017730355262756348,-0.006027404218912125,0.05407613888382912,0.0,0.9900553226470947,-0.14067311584949493,0.0,-0.05452394112944603,0.0019799170549958944,-0.01670926623046398,0.0,0.0,-0.06266982853412628,-0.31107625365257263,-1.9790472984313965,-0.5556377172470093,7.294997692108154,-0.23631829023361206,-0.07624277472496033,1.0692007541656494,0.0,0.0,0.4119546413421631,-1.0
2,1,1.0,0.327911913394928,1.0,-0.1665405035018921,0.31869712471961975,1.0,-0.8144794702529907,-0.34978431463241577,0.5381807088851929,0.40837565064430237,-2.038431167602539,-0.35100507736206055,2.5159270763397217,1.361603856086731,0.08658292144536972,-0.07886919379234314,-0.07138849049806595,0.5973978638648987,0.03499384969472885,0.051883090287446976,0.6124395728111267,0.0419236496090889,0.0016423389315605164,0.6044893264770508,0.037915583699941635,0.08082667738199234,-3.1088008880615234,0.45272746682167053,1.929715587323244e-08,-0.016322314739227295,-0.0048467256128787994,0.055144455283880234,0.0,0.9900537729263306,-0.14066942036151886,0.0,0.03282308205962181,-0.021087972447276115,-0.009891985915601254,0.0,0.0,0.07714365422725677,1.7496089935302734,0.7320046424865723,-0.6480310559272766,7.294997692108154,-0.1435416340827942,-0.045913927257061005,1.0640077590942383,0.0,0.0,0.45608314871788025,-0.9860780835151672
2,2,1.0,0.7441121935844421,0.2168591469526291,-0.8896056413650513,1.0,1.0,-0.47065532207489014,-0.39668887853622437,0.5524742007255554,0.4589483439922333,-2.030771255493164,-0.397382527589798,2.5105373859405518,1.403328537940979,0.26686275005340576,-0.05716448649764061,0.09089155495166779,0.6002438068389893,0.03673219680786133,0.05304306000471115,0.6124395728111267,0.0419236496090889,0.0016423389315605164,0.608780026435852,0.04087986797094345,0.07764805853366852,-3.0854899883270264,0.5910646319389343,2.4451505709066623e-08,-0.014014363288879395,-0.0027414225041866302,0.05656806007027626,0.0,0.9892667531967163,-0.1459657996892929,0.0,-0.006229877006262541,0.02723201923072338,0.023997722193598747,0.0,0.0,-0.03207755461335182,0.14039593935012817,0.7150131464004517,0.31690719723701477,7.294997692108154,-0.05772719532251358,0.013371754437685013,1.000435471534729,0.0,0.0,0.49690014123916626,-0.947399377822876
2,3,1.0,-0.14146241545677185,-0.7625311017036438,0.7298534512519836,1.0,-0.4325876832008362,-1.0,-0.425738662481308,0.5706701874732971,0.49153801798820496,-2.0168094635009766,-0.43040910363197327,2.5046775341033936,1.4129339456558228,0.16494742035865784,0.04801361262798309,0.3776128590106964,0.6042399406433105,0.038214392960071564,0.052598435431718826,0.6124395728111267,0.0419236496090889,0.0016423389315605164,0.6127487421035767,0.040298908948898315,0.07103317975997925,-3.1224241256713867,0.3465139865875244,1.5387227492169586e-08,-0.010053634643554688,-0.0014445073902606964,0.05558367446064949,0.0,0.9898249506950378,-0.14192736148834229,0.0,0.006144046317785978,0.018456725403666496,-0.041026171296834946,0.0,0.0,-0.47185078263282776,0.059404343366622925,-0.40894633531570435,0.4451855421066284,7.294997692108154,0.021647494286298752,0.001752583310008049,0.868137776851654,0.0,0.0,0.42714887857437134,-0.9513466954231262
2,4,1.0,0.07417820394039154,0.18322142958641052,0.10018722712993622,-0.9898422360420227,-0.1374618411064148,-0.9565120339393616,-0.4384014904499054,0.5918089151382446,0.5068050622940063,-1.9987852573394775,-0.4526676535606384,2.501446008682251,1.4119017124176025,0.10417838394641876,0.06332361698150635,0.3345296382904053,0.6089643239974976,0.03920789808034897,0.04998737573623657,0.6124395728111267,0.0419236496090889,0.0016423389315605164,0.6164196729660034,0.04057065770030022,0.0684632807970047,-3.128606081008911,0.2853596806526184,5.008979897525023e-09,-0.005951046943664551,-0.0005924776196479797,0.05339953675866127,0.0,0.9911665916442871,-0.13194230198860168,0.0,-0.05440234765410423,0.01501187589019537,0.011188386939466,0.0,0.0,0.2685079872608185,0.2818143963813782,-0.021765902638435364,-0.8158422708511353,7.294997692108154,0.09506569802761078,0.007187596522271633,0.8167397975921631,0.0,0.0,0.3847789764404297,-0.9517343640327454
2,5,-0.3625193238258362,0.15925411880016327,0.026876240968704224,0.5275995135307312,-1.0,0.6091673374176025,-0.17410027980804443,-0.4401760697364807,0.6133806705474854,0.5103293061256409,-1.9803831577301025,-0.4660539925098419,2.498380184173584,1.4037764072418213,-0.10006466507911682,0.06643038988113403,0.23233619332313538,0.6127321124076843,0.0398208312690258,0.045401908457279205,0.6124395728111267,0.0419236496090889,0.0016423389315605164,0.6147027611732483,0.04114123433828354,0.06549960374832153,-3.130615472793579,0.26239660382270813,1.1855181725195507e-08,-0.0019437670707702637,-0.00017546489834785461,0.04827180132269859,0.0,0.9919833540916443,-0.1258389949798584,0.0,-0.027623174712061882,0.004210620652884245,-0.05371570214629173,0.0,0.0,-0.01721515692770481,0.8771638870239258,-0.9313470721244812,0.9857250452041626,7.294997692108154,0.06072729080915451,0.018599078059196472,0.7574663162231445,0.0,0.0,0.4016176760196686,-0.8933786749839783
2,6,-0.9501286149024963,0.11350542306900024,-0.9283574223518372,1.0,-0.19610810279846191,0.46391385793685913,-0.9913514852523804,-0.43555858731269836,0.6342549324035645,0.5067144632339478,-1.96358323097229,-0.47245165705680847,2.4945335388183594,1.3911197185516357,-0.16818895936012268,0.061884552240371704,0.1734664887189865,0.6148474216461182,0.04018814116716385,0.03920222446322441,0.6124395728111267,0.0419236496090889,0.0016423389315605164,0.6109098792076111,0.04149733483791351,0.05917416885495186,-3.129995107650757,0.2696969509124756,1.1531453125712687e-08,0.0006402730941772461,-0.0001470707356929779,0.042581554502248764,0.0,0.9928879737854004,-0.11865339428186417,0.0,0.006923675071448088,-0.026039330288767815,0.004982649814337492,0.0,0.0,-0.02698025107383728,1.0390115976333618,1.2061891555786133,-0.5130545496940613,7.294997692108154,-0.015130046755075455,0.025721106678247452,0.6309576034545898,0.0,0.0,0.40629255771636963,-0.9007308483123779
2,7,-1.0,0.5995733141899109,-0.4152531325817108,1.0,-1.0,0.3786403238773346,-1.0,-0.428688108921051,0.653343915939331,0.5007167458534241,-1.9506056308746338,-0.4750767946243286,2.49064040184021,1.3780269622802734,-0.23226210474967957,-0.0011802376247942448,0.09152525663375854,0.6150346994400024,0.040837954729795456,0.032057955861091614,0.6124395728111267,0.0419236496090889,0.0016423389315605164,0.6072145104408264,0.04365050420165062,0.05524864420294762,-3.1306450366973877,0.26204410195350647,1.1324128301737346e-08,0.0010328292846679688,0.0007906891405582428,0.03572956845164299,0.0,0.9937378168106079,-0.11142142117023468,0.0,-0.003290176158770919,0.017063317820429802,0.03700553998351097,0.0,0.0,0.10792043060064316,-0.731660008430481,-0.42043399810791016,0.12448526918888092,7.294997692108154,-0.08903733640909195,0.06878452003002167,0.5524471402168274,0.0,0.0,0.4042174816131592,-0.908180296421051
2,8,-1.0,-0.2511349320411682,-1.0,0.5322861671447754,0.1542164534330368,0.008269146084785461,-1.0,-0.4229726791381836,0.6685057878494263,0.4954167902469635,-1.9437384605407715,-0.4792429804801941,2.4908595085144043,1.3691390752792358,1.0401555299758911,-0.8258882761001587,11.530876159667969,0.614493727684021,0.041575852781534195,0.026571104303002357,0.6124395728111267,0.0419236496090889,0.0016423389315605164,0.6037964820861816,0.04245012253522873,0.04942365363240242,-3.135272741317749,0.19917316734790802,4.4336405657929845e-09,0.0008857846260070801,0.001351047307252884,0.028522126376628876,0.0,0.9942576885223389,-0.106689453125,0.0,0.06379365175962448,-0.012858509086072445,-0.020303873345255852,0.0,0.0,-0.1466018408536911,1.1225714683532715,-1.7946163415908813,11.544914245605469,7.294997692108154,-0.15739843249320984,0.044776901602745056,0.43594732880592346,0.0,0.0,0.3745044767856598,-0.9150707125663757
2,9,-1.0,-1.0,1.0,0.4512127637863159,0.9367103576660156,-0.7136766314506531,-0.9157217741012573,-0.4275730848312378,0.6709025502204895,0.5016801357269287,-1.9416472911834717,-0.4882206916809082,2.4798736572265625,1.3665348291397095,-0.22957143187522888,-0.11644599586725235,3.0335495471954346,0.6131452918052673,0.04127093777060509,0.026409128680825233,0.6124395728111267,0.0419236496090889,0.0016423389315605164,0.6006349325180054,0.038529980927705765,0.05154005438089371,-3.1361966133117676,0.18405331671237946,-8.045226707054098e-09,-0.0004582405090332031,0.0013505294919013977,0.02815994620323181,0.0,0.9948480129241943,-0.10115715861320496,0.0,0.04450320824980736,0.011662243865430355,-0.013913958333432674,0.0,0.0,0.04661910980939865,0.2279454469680786,-2.518404245376587,3.0624635219573975,7.294997692108154,-0.2206295132637024,-0.03362596407532692,0.4782753884792328,0.0,0.0,0.2928444445133209,-0.9151196479797363
